Time,Engine RPM,Intake Manifold Absolute Pressure,Throttle Position,Coolant Temp,Intake Air Temp,Knock Retard,Wideband AFR,Air-Fuel Ratio Commanded,Barometric Pressure,Fuel Pressure,Injector Pulse Width Avg,Short Term Fuel Trim Bank 1,Long Term Fuel Trim Bank 1
0.0,2501.3677106901273,70.0,50.0,196.0,98.0,0.0,14.7,14.7,101.0,58.0,6.0,3.5,0.0
0.05,2627.4488090290233,74.31669499457749,54.31669499457749,196.0,98.0,0.0,14.7,14.7,101.0,58.0,6.0,3.5,0.0
0.1,2694.9985959920937,78.62447273334269,58.624472733342685,196.0,98.0,0.0,14.7,14.7,101.0,58.0,6.0,3.5,0.0
0.15000000000000002,2698.332351075296,82.91443438139356,62.91443438139356,196.0,98.0,0.0,12.8,12.8,101.0,58.0,6.0,0.0,0.0
0.2,2779.237188151705,87.17771790759551,67.17771790759551,196.0,98.0,0.0,12.8,12.8,101.0,58.0,6.0,0.0,0.0
0.25,2842.0412843202976,91.40551639141061,71.40551639141061,196.0,98.0,0.0,12.8,12.8,101.0,58.0,6.0,0.0,0.0
0.30000000000000004,2957.3692716113646,95.58909621588187,75.58909621588187,196.0,98.0,0.0,12.8,12.8,101.0,58.0,6.0,0.0,0.0
0.35000000000000003,3003.1384141149356,99.71981510918954,79.71981510918954,196.0,98.0,0.0,12.8,12.8,101.0,58.0,6.0,0.0,0.0
0.4,3105.309677833861,103.78913999751055,83.78913999751055,196.0,98.0,0.0,12.8,12.8,101.0,58.0,6.0,0.0,0.0
0.45,3070.743393559127,107.78866463230106,87.78866463230106,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
0.5,3275.546982268928,111.71012695558827,91.71012695558827,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
0.55,3276.2219569758777,115.54542616739928,95.54542616739928,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
0.6000000000000001,3373.334772483293,119.2866394600696,99.2866394600696,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
0.65,3405.4458699889124,122.92603838486214,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
0.7000000000000001,3459.1861379485194,126.45610481708749,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
0.75,3554.874875657814,129.8695464867451,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
0.8,3629.798525250799,133.15931204260286,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
0.8500000000000001,3647.561992350589,136.31860561859634,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
0.9,3706.6875928707727,139.34090087245704,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
0.9500000000000001,3795.568977014043,142.2199544675691,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.0,3786.793682443377,144.94981897020443,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.05,3812.543444109052,147.52485513549317,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.1,3938.3985444873774,149.93974355675016,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.1500000000000001,3943.1529453689523,152.18949565409253,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.2000000000000002,3938.3640110134734,154.26946397964835,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.25,4025.576433620132,156.17535181806858,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.3,4080.0909687792937,157.9032220625096,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.35,4089.358273363475,159.44950534775114,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.4000000000000001,4113.257891542406,160.81100742364816,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.4500000000000002,4207.817551845859,161.98491575368487,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.5,4273.113722645846,162.96880532500018,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.55,4256.200642026552,163.7606436578823,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.6,4261.472853933814,164.35879500438398,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.6500000000000001,4329.657815221351,164.76202372738516,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.7000000000000002,4363.305380042574,164.96949685312276,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.75,4340.259814322643,164.98078579191443,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.8,4388.951548906383,164.79586722352207,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.85,4421.022716295676,164.41512314532588,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.9000000000000001,4380.392602144921,163.83934008320924,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
1.9500000000000002,4362.699852868441,163.06970746678533,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.0,4412.912848868978,162.10781517232076,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.0500000000000003,4409.866169536285,160.95565023843284,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.1,4442.064113924865,159.61559276134489,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.15,4342.068124044626,158.0904109781784,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.2,4359.525971717385,156.38325554843976,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.25,4342.213361387897,154.4976530455138,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.3000000000000003,4293.35457551938,152.4374986716096,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.35,4351.992524980754,150.2070482112077,100.0,196.0,158.0,2.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.4000000000000004,4349.535468886022,147.81090923963063,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.45,4277.6554219562495,145.25403160489827,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.5,4338.743575396591,142.54169720252986,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.5500000000000003,4289.6676163475495,139.67950906441547,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.6,4252.760170122217,136.673379784297,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.6500000000000004,4212.052460132733,133.5295193037685,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.7,4200.021481488693,130.25442208402728,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.75,4071.8680546098494,126.85485368987585,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.8000000000000003,4110.653216170138,123.33783681368894,100.0,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.85,4068.809878151319,119.71063676821629,99.71063676821629,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.9000000000000004,3930.3080609651815,115.9807464781905,95.9807464781905,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
2.95,3968.995842024016,112.15587100174277,92.15587100174277,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
3.0,3897.0433468567635,108.24391161360217,88.24391161360217,196.0,158.0,0.0,12.3,11.6,101.0,44.0,17.0,0.0,0.0
3.0500000000000003,3888.1854779262308,104.25294948295834,84.25294948295834,196.0,98.0,0.0,12.8,12.8,101.0,58.0,6.0,0.0,0.0
