Point Number,RTC,RPM,Inj PW,Duty Cycle,CL Comp,Target AFR,AFR,Air Temp Enr,Coolant Enr,Coolant AFR Offset,Afterstart Enr,Current Learn,CL Status,Learn Status,Fuel Economy,Fuel Flow,MAP RoC,TPS RoC,Tuning Change,Estimated VE,Main Rev Limit,Rev Limit #1,Launch Retard,Ignition Timing,Knock Retard,Knock Level,Spark Pad2,IAC Position,Target Idle Speed,MAP,TPS,MAT,CTS,Baro,Battery,Oil Pressure,Fuel Pressure,Pedal Position,AC Kick,Fan #1,Fan #2,#2 Fuel Pump,AC Shutdown,TCC Lockup,Sensor Warning,Sensor Caution,Base Fuel lb/hr,Base Fuel VE,Base Timing,Base Target AFR,Base Ign Dwell,Vol Comp Ign Dwell,Inj End Angle,ECU Log Trigger,Timing vs Air,Timing vs Cool,Status 1,Status 2,Status 3,Status 4,Status 5,Status 6,Status 7,Status 8,Inj Driver #1 PPH,Inj Driver #2 PPH,Inj Driver #3 PPH,Inj Driver #4 PPH,Inj Driver #5 PPH,Inj Driver #6 PPH,Inj Driver #7 PPH,Inj Driver #8 PPH,Inj Driver #1 PW,Inj Driver #2 PW,Inj Driver #3 PW,Inj Driver #4 PW,Inj Driver #5 PW,Inj Driver #6 PW,Inj Driver #7 PW,Inj Driver #8 PW,Cyl #1 Fuel Cor,Cyl #2 Fuel Cor,Cyl #3 Fuel Cor,Cyl #4 Fuel Cor,Cyl #5 Fuel Cor,Cyl #6 Fuel Cor,Cyl #7 Fuel Cor,Cyl #8 Fuel Cor,Cyl #1 Timing Cor,Cyl #2 Timing Cor,Cyl #3 Timing Cor,Cyl #4 Timing Cor,Cyl #5 Timing Cor,Cyl #6 Timing Cor,Cyl #7 Timing Cor,Cyl #8 Timing Cor,DI Target FP,Boost PSIG,Staging Input #1,Staging Input #2,Staging Output,System Pad2,System Pad3,System Pad4,Boost Gear,Boost,Boost Speed,Boost Time,Target Boost,Trans Brake,Boost Scramble +,Boost Scramble -,Manual Boost Reset,Boost Solenoid Duty,Boost Safety,Boost Master Enbl,Boost Man Shift Inp,Boost Fill Sol DC,Boost Vent Sol DC,N2O Stage 1,GPO 1,N2O Enabled,N2O Input #1,N2O Lean Cutoff,N2O Rich Cutoff,N2O RPM Cutoff,N2O MAP Cutoff,N2O Dry Fuel #1,N2O Tmg Mod #1,N2O Timer #1,N20 Pad1,N20 Pad2,N20 Pad3,N20 Pad4,Gear,Speed,Line Pressure,Input Shaft Speed,Accum Pressure,TCC Duty Cycle,Line Temp,Trans Man US Input,Trans Man DS Input,Trans Auto/Man In,Trans Range Pos,Trans Pad 2,TB TPS #1,TB TPS #2,Pedal TPS #1,Pedal TPS #2,TB Position,Brake Pedal,DBW Pad2,Diag #1,Diag #2,Diag #3,Diag #4,Diag #5,Diag #6,Diag #7,Diag #8,Diag #9,Diag #10,Diag #11,Diag #12,Diag #13,Diag #14,Diag #15,Diag #16,Diag #17,Diag #18,Diag #19,Diag #20,AT Launch Input,AT Manual Reset,AT Gear,,,,,,,,,,,Input #1,Input #2,Input #3,Input #4,Input #5,Input #6,Input #7,Input #8,Input #9,Input #10,Input #11,Input #12,Input #13,Input #14,Input #15,Input #16,Input #17,Input #18,Input #19,Input #20,Output #1,Output #2,Output #3,Output #4,Output #5,Output #6,Output #7,Output #8,Output #9,Output #10,Output #11,Output #12,Output #13,Output #14,Output #15,Output #16,Output #17,Output #18,Output #19,Output #20
,[sec],[RPM],[msec],[%],[%],[A/F],[A/F],[%],[%],[A/F],[%],[%],,,[mpg],[lb/hr],[kpa/sec x10],[%/sec],,[%],,,[°],[°],[°],[%],,[%],[RPM],[kPa],[%],[°F],[°F],[kPa],[Volts],[psi],[psi],[%],,,,,,,,,[lb/hr],[%],[°],[A/F],[msec],[msec],[°],[sec],[%°],[%°],,,,,,,,,[lb/hr],[lb/hr],[lb/hr],[lb/hr],[lb/hr],[lb/hr],[lb/hr],[lb/hr],[msec],[msec],[msec],[msec],[msec],[msec],[msec],[msec],[%],[%],[%],[%],[%],[%],[%],[%],[°],[°],[°],[°],[°],[°],[°],[°],[bar],[psig],,,[%],,,,,[psig],[MPH],[sec],[psig],,,,,[%],,,,[%],[%],[%],,,,,,,,[lb/hr],[°],[sec],,,,,,[MPH],[%],[RPM],[%],[%],[°F],,,,,,[Volts],[Volts],[Volts],[Volts],[%],,,,,,,,,,,,,,,,,,,,,,,,,,[lb/hr],[lb/hr],[lb/hr],[lb/hr],[lb/hr],[lb/hr],[lb/hr],[lb/hr],[lb/hr],[lb/hr],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.000000,719.814575,2.086708,0.890369,1.192742,13.799999,13.807576,98.622269,100.000000,0.000000,100.000000,-20.951275,1.000000,1.000000,0.000000,4.602591,0.000000,0.000000,0.000000,46.151352,0.000000,0.000000,0.000000,12.146327,0.000000,0.000000,0.000000,21.488970,700.000000,43.874897,7.629921,133.774612,198.251572,102.785118,14.049088,27.943098,42.618393,0.499069,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.873526,57.925648,12.000000,13.799999,4.500000,4.420216,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.579741,0.579741,0.579741,0.580283,0.580283,0.580283,0.580283,0.580283,2.104044,2.104044,2.104044,2.104044,2.104044,2.104044,2.104044,2.104044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.517991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.517991,0.000000,810.734497,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,26.870092,0.000000,0.000000,0.000000,180.913879,0.000000,0.000000,0.000000,1.000000,0.000000,4.077064,0.910460,1.014541,0.477097,7.637503,0.000000,0.000000,1000000.000000,0.000000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.023000,721.627625,2.089056,0.890996,1.101787,13.799999,13.732177,98.623024,100.000000,0.000000,100.000000,-20.951469,1.000000,1.000000,0.000000,4.598112,0.000000,0.000000,0.000000,45.799763,0.000000,0.000000,0.000000,12.183358,0.000000,0.000000,0.000000,21.488970,700.000000,44.002533,7.638130,133.765823,198.227982,102.788025,14.063203,27.717730,42.620678,0.514089,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.874313,57.925724,12.000000,13.799999,4.500000,4.415780,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.577441,0.577441,0.577441,0.577441,0.577441,0.577441,0.577441,0.577441,2.095973,2.095973,2.096193,2.096193,2.096193,2.096193,2.096193,2.096193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.536713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.536713,0.000000,810.756653,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,26.969337,0.000000,0.000000,0.000000,181.012360,0.000000,0.000000,0.000000,1.000000,0.000000,4.077542,0.910893,1.016295,0.477089,7.640916,0.000000,0.000000,1000000.000000,0.000000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.046000,723.581482,2.092228,0.893705,1.022826,13.799999,13.669025,98.622032,100.000000,0.000000,100.000000,-20.952042,1.000000,1.000000,0.000000,4.624191,0.000000,0.000000,0.000000,45.731354,0.000000,0.000000,0.000000,12.036022,0.000000,0.000000,0.000000,21.488970,700.000000,44.110210,7.633696,133.779526,198.237839,102.792816,14.045451,27.869823,42.629356,0.508476,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.891961,57.962635,12.000000,13.799999,4.500000,4.421360,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.581085,0.581085,0.581085,0.579645,0.579645,0.579645,0.579645,0.579645,2.095646,2.095646,2.095646,2.095646,2.095646,2.095646,2.095646,2.095646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.565022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.565022,0.000000,810.780823,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,26.999149,0.000000,0.000000,0.000000,180.975800,0.000000,0.000000,0.000000,1.000000,0.000000,4.077478,0.910491,1.015445,0.476731,7.632236,0.000000,0.000000,1000000.000000,0.000000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.070000,726.994080,2.098169,0.900485,1.073122,13.799999,13.716950,98.620422,100.000000,0.000000,100.000000,-20.957010,1.000000,1.000000,0.000000,4.647077,0.000000,0.000000,0.000000,46.106956,0.000000,0.000000,0.000000,11.924654,0.000000,0.000000,0.000000,21.488970,700.000000,44.100277,7.647623,133.791443,198.258118,102.795586,14.052105,27.791565,42.628895,0.495185,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.930386,58.013550,12.000000,13.799999,4.500000,4.419267,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.579510,0.579510,0.579510,0.579510,0.579510,0.579510,0.579510,0.579510,2.087641,2.087641,2.086029,2.086029,2.086029,2.086029,2.086029,2.086029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.580251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.580251,0.000000,810.802979,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,26.990156,0.000000,0.000000,0.000000,180.931900,0.000000,0.000000,0.000000,1.000000,0.000000,4.077303,0.911997,1.013008,0.476780,7.655126,0.000000,0.000000,1000000.000000,0.000000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.091000,730.435852,2.099619,0.904990,1.237565,13.799999,13.858703,98.620628,100.000000,0.000000,100.000000,-20.954397,1.000000,1.000000,0.000000,4.691632,0.000000,0.000000,0.000000,46.688755,0.000000,0.000000,0.000000,11.482969,0.000000,0.000000,0.000000,21.365868,700.000000,43.899796,7.640593,133.809296,198.251221,102.793976,14.041883,27.950495,42.634773,0.502957,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.918548,58.041584,12.000000,13.799999,4.500000,4.420528,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.582431,0.582431,0.582431,0.580697,0.580697,0.580697,0.580697,0.580697,2.084079,2.084079,2.084079,2.084079,2.084079,2.084079,2.084079,2.084079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.585499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.585499,0.000000,810.827148,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,26.995819,0.000000,0.000000,0.000000,181.039856,0.000000,0.000000,0.000000,1.000000,0.000000,4.076636,0.911053,1.013723,0.475980,7.651414,0.000000,0.000000,1000000.000000,0.000000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.114000,735.434814,2.095510,0.909047,1.185989,13.799999,13.812760,98.619896,100.000000,0.000000,100.000000,-20.952232,1.000000,1.000000,0.000000,4.691265,0.000000,0.000000,0.000000,46.510490,0.000000,0.000000,0.000000,11.317899,0.000000,0.000000,0.000000,21.387074,700.000000,43.641712,7.653734,133.793716,198.261993,102.809090,14.024360,27.927849,42.630882,0.484691,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.906253,58.031208,12.000000,13.799999,4.500000,4.428010,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.582560,0.582560,0.582560,0.582560,0.582560,0.582560,0.582560,0.582560,2.085747,2.085747,2.089785,2.089785,2.089785,2.089785,2.089785,2.089785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.574331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.574331,0.000000,810.851318,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,26.916441,0.000000,0.000000,0.000000,180.996948,0.000000,0.000000,0.000000,1.000000,0.000000,4.077661,0.910594,1.013193,0.476544,7.626990,0.000000,0.000000,1000000.000000,0.000000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.138000,736.140625,2.089479,0.910005,1.286441,13.799999,13.895768,98.619652,100.000000,0.000000,100.000000,-20.948521,1.000000,1.000000,0.000000,4.683513,0.000000,0.000000,0.000000,46.777752,0.000000,0.000000,0.000000,11.168864,0.000000,0.000000,0.000000,21.349648,700.000000,43.497971,7.651507,133.801804,198.250153,102.810524,14.053638,27.908426,42.626987,0.497986,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.921470,58.065907,12.000000,13.799999,4.500000,4.418785,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586138,0.586138,0.586138,0.586138,0.587928,0.587928,0.587928,0.587928,2.090655,2.090655,2.090655,2.090655,2.090655,2.090655,2.090655,2.090655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.548611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.548611,0.000000,810.873474,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,26.925671,0.000000,0.000000,0.000000,181.100998,0.000000,0.000000,0.000000,1.000000,0.000000,4.077071,0.911056,1.015507,0.476293,7.645512,0.000000,0.000000,1000000.000000,0.000000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.161000,733.390625,2.088547,0.908255,1.208300,13.799999,13.824284,98.619049,100.000000,0.000000,100.000000,-20.944891,1.000000,1.000000,0.000000,4.687177,0.000000,0.000000,0.000000,46.596313,0.000000,0.000000,0.000000,11.136205,0.000000,0.000000,0.000000,21.421841,700.000000,43.475388,7.630458,133.808609,198.217392,102.821396,14.020198,28.077435,42.619633,0.507979,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.948429,58.148933,12.000000,13.799999,4.500000,4.429324,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.590072,0.590072,0.590072,0.590072,0.590072,0.590072,0.590072,0.590072,2.099097,2.099097,2.101862,2.101862,2.101862,2.101862,2.101862,2.101862,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.554726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.554726,0.000000,810.895630,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,27.024179,0.000000,0.000000,0.000000,180.965561,0.000000,0.000000,0.000000,1.000000,0.000000,4.077782,0.911473,1.013720,0.477278,7.638634,0.000000,0.000000,1000000.000000,0.000000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.183000,732.218079,2.084526,0.903511,1.247501,13.799999,13.857143,98.619118,100.000000,0.000000,100.000000,-20.940075,1.000000,1.000000,0.000000,4.664472,0.000000,0.000000,0.000000,46.447754,0.000000,0.000000,0.000000,11.334512,0.000000,0.000000,0.000000,21.591276,700.000000,43.494087,7.643836,133.815063,198.272049,102.826874,14.038311,27.863274,42.621700,0.509277,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.942127,58.092884,12.000000,13.799999,4.500000,4.423609,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586620,0.586620,0.586620,0.587037,0.587037,0.587037,0.587037,0.587037,2.094076,2.094076,2.094076,2.094076,2.094076,2.094076,2.094076,2.094076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.582895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.582895,0.000000,810.919800,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,27.066811,0.000000,0.000000,0.000000,180.985107,0.000000,0.000000,0.000000,1.000000,0.000000,4.077275,0.910760,1.014121,0.476907,7.638690,0.000000,0.000000,1000000.000000,0.000000,183.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
